period_end,realized_vol_ann,month_ret,n_days
2013-01-31,0.0,0.0,20
2013-02-28,0.0,0.0,15
2013-03-31,0.0,0.0,21
2013-04-30,0.0,0.0,18
2013-05-31,0.15409136898940892,0.14919696593866294,22
2013-06-30,0.36385504059688767,-0.1381008258551959,17
2013-07-31,0.2531368907774051,0.1301208403918095,23
2013-08-31,0.23460160451853648,0.07253030683921136,22
2013-09-30,0.1549052837561856,0.070763185268653,19
2013-10-31,0.27534385793745425,0.032185254790130235,18
2013-11-30,0.20590255938598087,0.09793910128193861,21
2013-12-31,0.22696361591337855,0.010174706812187573,22
2014-01-31,0.2347607541706655,0.024850929406692757,21
2014-02-28,0.27642175856443846,0.02321819929814639,16
2014-03-31,0.21488938254870837,0.028233912712313236,21
2014-04-30,0.17387909947499464,-0.013838209608792895,21
2014-05-31,0.15614573011246957,0.02476295674947493,20
2014-06-30,0.1770766022212086,0.0414884233041557,20
2014-07-31,0.14334891576770467,0.09047587758859432,23
2014-08-31,0.15989250112078787,0.05398554306969605,21
2014-09-30,0.18752345827017872,0.14887399508327293,21
2014-10-31,0.1776835059819704,0.022580221055473748,18
2014-11-30,0.22669089204248072,0.056261071731342316,20
2014-12-31,0.3243672096786724,0.05696930579601078,23
2015-01-31,0.2143983682358183,0.0766292296353368,20
2015-02-28,0.19021640298710477,0.08257776266624894,15
2015-03-31,0.20912365829048413,0.23557669069422404,22
2015-04-30,0.43386145673867715,0.2538912325756473,21
2015-05-31,0.4390476960500503,0.21098659462269054,20
2015-06-30,0.6893248213945297,-0.07416107942094874,21
2015-07-31,0.965907879266174,-0.11985746730639668,23
2015-08-31,0.882341541912222,-0.1258874240211577,21
2015-09-30,0.7560714996806284,0.038350556427289684,20
2015-10-31,0.47637717495856136,0.14397790563400625,17
2015-11-30,0.36682011725493846,0.12223678045947461,21
2015-12-31,0.26660574441180007,0.07917803395614098,23
2016-01-31,0.7370691634436548,-0.22712955254664446,20
2016-02-29,0.46868266215019494,-0.0010121554270138278,16
2016-03-31,0.3343839620886746,0.17220854189005186,23
2016-04-30,0.2621595838078122,0.004375199245894912,20
2016-05-31,0.3038647528005681,-0.0002873486248511359,21
2016-06-30,0.27952732996379887,0.09235588135124462,20
2016-07-31,0.2445609315289487,0.02816217008009647,21
2016-08-31,0.15598640656778323,0.06357563727880078,23
2016-09-30,0.1722570453722777,0.01156736558007454,20
2016-10-31,0.11666959815450242,0.014254896522908567,16
2016-11-30,0.07603591264693149,0.047349797933561755,22
2016-12-31,0.22061229761702236,-0.03627149588039369,22
2017-01-31,0.1710063894962746,0.007415253778376707,18
2017-02-28,0.14498667287605516,0.04675473170736777,18
2017-03-31,0.12895490722465275,-0.004527705569652651,23
2017-04-30,0.15777124854966132,-0.06439473844066457,18
2017-05-31,0.22166762112644806,-0.061556364641564554,20
2017-06-30,0.1719469531266241,0.07531862682021151,22
2017-07-31,0.21772016489616292,0.07186253096126016,21
2017-08-31,0.14256672030417525,0.029501894532114603,23
